City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,26.73,81,100,6.8,PF,1678335721
1,albany,42.6001,-73.9662,-0.99,70,57,6.26,US,1678335661
2,busselton,-33.65,115.3333,26.04,45,0,3.05,AU,1678335722
3,pevek,69.7008,170.3133,-25.25,91,84,1.17,RU,1678335723
4,hermanus,-34.4187,19.2345,17.33,77,2,5.59,ZA,1678335723
5,east london,-33.0153,27.9116,18.52,77,0,3.6,ZA,1678335724
6,klaksvik,62.2266,-6.589,-1.49,50,100,8.18,FO,1678335724
7,husavik,66.0449,-17.3389,-6.06,68,100,3.86,IS,1678335725
8,mataura,-46.1927,168.8643,18.83,69,57,2.1,NZ,1678335725
9,coihaique,-45.5752,-72.0662,9.97,87,75,2.57,CL,1678335444
10,tual,-5.6667,132.75,28.4,75,25,6.12,ID,1678335726
11,sao sebastiao,-23.76,-45.4097,23.79,84,92,1.69,BR,1678335689
12,walvis bay,-22.9575,14.5053,16.53,88,0,2.06,NA,1678335727
13,grand-santi,4.25,-54.3833,21.67,100,91,0.93,GF,1678335727
14,kodiak,57.79,-152.4072,7.73,71,0,4.63,US,1678335728
15,monrovia,6.3005,-10.7969,25.87,90,70,1.8,LR,1678335728
16,chuy,-33.6971,-53.4616,20.56,94,2,0.52,UY,1678335487
17,laguna,38.421,-121.4238,9.08,71,0,2.06,US,1678335549
18,bluff,-46.6,168.3333,16.54,70,54,3.02,NZ,1678335729
19,port alfred,-33.5906,26.891,18.31,76,0,0.94,ZA,1678335730
20,barga,44.0742,10.4808,10.54,98,100,2.32,IT,1678335730
21,ushuaia,-54.8,-68.3,3.81,81,0,2.06,AR,1678335566
22,marang,5.2056,103.2059,29.95,82,79,4.82,MY,1678335731
23,hobart,-42.8794,147.3294,18.92,52,40,7.72,AU,1678335431
24,bredasdorp,-34.5322,20.0403,16.07,80,0,2.91,ZA,1678335732
25,ponta do sol,32.6667,-17.1,19.28,90,85,2.1,PT,1678335732
